condition,mental illness,difficulty changing,desired change,genes,punishment,control,wrongness,internal distress,common,politics
psychopath,5,5,3,4,4,6,5,4,35,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,7,7,5,6,4,1,6,1,31,6
psychopath,7,5,3,5,4,4,5,1,20,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,7,7,4,5,6,3,6,3,20,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,5,7,7,5,4,4,5,7,1,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,7,7,1,1,4,1,7,1,1,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,7,7,1,7,4,1,7,1,4,6
psychopath,6,7,2,3,3,2,7,1,10,6
psychopath,6,7,1,5,7,2,6,1,3,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,6,4,3,5,4,2,4,2,29,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,7,4,3,4,5,5,7,2,12,7
psychopath,3,5,5,2,5,4,5,4,40,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,7,7,1,7,7,7,7,7,5,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,3,7,4,3,5,1,1,1,10,4
psychopath,7,7,3,5,6,1,6,2,1,2
psychopath,6,7,1,3,5,2,5,2,3,6
psychopath,5,7,5,4,4,4,5,2,10,4
psychopath,4,5,3,5,4,4,1,1,20,4
psychopath,5,5,5,4,4,3,5,5,10,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,7,7,7,7,4,2,6,7,3,7
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,6,4,1,5,5,2,4,2,73,2
psychopath,6,7,4,4,3,3,5,3,5,2
psychopath,7,4,7,5,4,1,7,3,7,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,7,7,2,6,4,2,7,1,5,1
psychopath,7,6,6,3,4,5,7,4,1,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,7,5,3,4,5,3,4,6,38,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,4,7,1,4,4,1,6,1,16,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,7,7,4,6,4,2,4,3,30,5
psychopath,5,6,1,5,4,2,7,1,33,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
psychopath,6,7,4,7,5,3,7,7,14,2
psychopath,4,7,1,4,7,2,7,1,1,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,4,6,3,4,5,3,4,2,15,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,6,6,4,4,4,3,6,3,3,7
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,6,6,5,5,4,2,6,4,19,6
psychopath,6,6,4,4,4,2,5,7,5,2
psychopath,7,6,5,2,2,1,6,6,3,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,1,3,3,2,7,3,1,4,22,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,1,5,3,3,6,4,6,3,25,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,7,5,3,2,6,1,7,1,2,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,7,7,1,4,5,3,7,1,10,2
psychopath,7,6,5,2,4,3,6,6,9,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
psychopath,7,7,1,4,5,5,7,4,20,7
psychopath,6,6,3,4,7,3,6,2,5,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,6,5,2,5,4,3,4,1,15,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,7,7,7,5,5,7,7,7,47,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,7,7,1,4,5,1,5,1,5,6
psychopath,6,6,2,1,4,2,7,2,40,5
psychopath,7,5,5,5,4,4,4,4,31,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,5,6,4,5,7,3,7,3,19,2
psychopath,7,7,4,3,7,4,7,1,25,6
psychopath,5,5,4,5,5,5,4,4,60,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,5,6,6,1,7,4,7,3,1,5
psychopath,1,7,1,1,7,1,4,1,16,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,5,6,2,4,6,2,6,2,5,3
psychopath,7,6,4,4,4,2,5,1,3,4
psychopath,7,7,7,1,7,1,7,7,4,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,6,7,1,5,6,6,6,1,44,4
psychopath,7,7,1,5,4,1,6,1,5,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,6,7,1,6,6,3,7,1,9,3
psychopath,7,7,2,6,5,1,7,2,5,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,7,7,2,1,4,7,7,4,5,4
psychopath,7,6,4,6,5,2,7,2,15,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
psychopath,7,7,2,5,4,1,7,2,10,7
psychopath,4,6,3,3,4,4,6,3,3,6
psychopath,7,7,3,5,3,2,2,2,2,5
psychopath,7,7,2,6,3,1,7,3,4,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,7,7,3,6,4,1,5,4,10,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,7,4,6,5,4,4,5,7,13,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,6,6,4,5,5,2,5,5,6,4
psychopath,1,7,2,5,4,4,7,2,4,1
psychopath,7,7,1,3,5,2,7,1,20,2
psychopath,5,6,5,4,6,5,6,4,41,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,6,7,2,5,5,5,5,4,15,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
psychopath,7,7,3,7,4,1,7,6,30,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
psychopath,6,6,4,4,6,3,6,2,5,6
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,5,7,1,3,6,1,6,1,10,1
psychopath,7,7,1,5,4,4,7,1,12,2
psychopath,7,7,1,4,7,1,7,1,30,2
psychopath,7,7,1,4,4,2,4,5,2,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,7,4,1,4,7,4,7,1,24,7
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,7,6,3,3,6,4,6,6,25,5
psychopath,7,7,4,6,5,1,6,2,3,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,5,6,4,6,7,2,3,5,33,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
psychopath,7,7,2,7,6,1,7,1,4,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
psychopath,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
psychopath,7,7,1,5,6,1,7,1,2,5
psychopath,6,7,4,4,4,2,1,4,20,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,1,7,2,5,4,1,1,3,6,5
gay,4,5,6,6,6,5,6,6,21,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,5,7,4,6,6,6,4,4,39,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,1,4,4,1,1,3,25,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,1,7,1,7,4,1,1,2,10,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,4,7,5,6,4,4,1,4,27,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,2,6,4,4,4,2,1,5,15,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,4,1,4,4,1,5,12,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,1,7,3,6,4,1,1,4,16,2
gay,1,4,3,4,4,4,1,1,23,2
gay,1,7,3,5,4,1,1,4,30,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,1,6,4,4,4,1,2,4,15,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,1,7,4,1,1,5,12,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,4,4,4,4,5,5,5,4,72,5
gay,1,7,4,7,4,1,1,5,15,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,2,5,4,1,1,4,25,4
gay,1,7,3,5,4,1,1,4,25,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,5,5,3,5,2,4,4,4,27,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,4,7,6,3,3,5,6,3,19,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,5,6,5,6,6,7,6,7,62,6
gay,4,6,1,1,4,6,3,5,10,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,2,6,1,5,4,2,3,3,7,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,5,6,3,1,5,5,4,5,38,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,7,7,7,7,7,7,4,7,100,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,1,7,3,4,4,2,1,4,30,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,1,7,4,4,4,1,4,4,20,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,1,2,4,1,1,3,10,2
gay,1,7,3,4,4,1,1,4,20,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,3,4,4,1,1,5,25,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,1,7,4,7,4,1,1,3,5,5
gay,2,5,5,2,4,3,4,4,24,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,4,3,4,4,4,3,7,3,51,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,2,6,2,5,4,3,2,4,6,2
gay,5,5,2,1,5,4,5,4,6,6
gay,1,7,2,4,4,1,1,3,6,2
gay,1,7,2,6,4,2,1,2,40,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,2,4,4,1,1,4,33,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,4,3,2,2,4,2,4,4,13,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,6,6,3,4,5,5,2,4,30,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,1,7,1,1,4,1,1,2,35,2
gay,1,7,2,1,4,1,1,3,30,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,1,7,1,4,4,1,1,4,25,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,1,7,4,4,4,2,1,6,25,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,2,5,4,1,6,3,47,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,1,6,4,1,1,4,6,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,1,7,2,4,4,1,1,2,8,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,1,7,2,4,4,1,1,3,15,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,1,4,4,1,1,4,60,4
gay,1,7,3,1,4,4,3,4,5,3
gay,1,7,1,7,4,1,1,2,20,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,1,7,1,7,4,1,1,1,50,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,1,7,3,4,4,1,1,6,9,2
gay,7,4,4,4,7,4,5,4,47,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,1,7,5,2,4,2,6,6,59,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,5,4,4,4,4,3,2,3,20,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,2,4,1,4,4,5,5,2,10,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,1,7,1,7,4,1,1,7,18,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,2,3,4,4,2,1,5,4
gay,1,7,1,4,4,2,1,5,7,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,4,7,4,1,1,7,10,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,1,7,1,7,4,1,1,1,47,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,1,4,1,1,4,1,1,3,15,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,1,7,1,7,4,1,1,2,6,5
gay,1,7,1,1,4,1,1,3,25,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,2,1,4,1,1,2,37,1
gay,1,7,1,6,4,1,1,2,17,4
gay,2,7,3,2,4,2,2,4,5,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,2,2,4,2,1,4,30,4
gay,1,4,4,4,4,1,1,4,25,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,1,7,3,4,4,1,1,4,34,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,1,7,1,7,4,1,1,1,29,4
gay,5,5,5,1,4,3,7,4,5,7
gay,1,7,1,7,4,1,1,2,8,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,1,7,3,7,4,1,1,3,9,2
gay,1,7,4,4,4,1,1,3,30,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,3,6,4,3,4,2,1,5,17,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,5,3,2,4,4,1,6,20,2
gay,2,5,2,3,4,4,3,6,2,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,4,5,4,4,5,5,4,5,77,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,1,7,5,7,4,1,4,4,29,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,2,6,4,2,1,5,25,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,3,7,1,4,4,1,1,1,15,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,3,5,2,4,4,5,5,3,44,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,2,7,2,2,4,2,1,5,12,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,1,6,4,1,1,2,25,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,2,4,4,1,1,3,31,1
gay,1,7,1,7,4,5,1,7,49,4
gay,2,7,1,1,4,1,1,2,8,6
gay,4,7,1,7,4,1,1,3,12,1
gay,1,7,4,7,4,1,1,5,20,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,5,5,3,5,2,3,7,5,10,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,1,1,4,1,1,2,8,1
gay,3,6,4,4,4,3,3,4,10,5
gay,6,7,7,5,7,3,7,7,31,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,1,7,2,5,4,1,1,3,12,1
gay,1,7,1,7,4,1,1,4,50,4
gay,1,7,1,6,4,1,1,1,26,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,1,7,1,7,4,2,1,4,35,6
gay,6,5,4,2,4,3,5,5,35,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
gay,2,5,4,4,3,2,2,2,21,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,3,3,3,3,5,4,4,3,41,5
gay,3,4,3,5,4,4,2,3,30,5
gay,1,1,1,1,4,7,7,5,40,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,5,7,1,5,4,4,1,4,30,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,6,5,5,5,4,5,4,5,68,4
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
gay,1,7,2,7,4,1,1,2,20,2
